,0,1
445,微積分,48
446,啊啊啊,48
447,晚上,48
448,豪,48
449,一個月,48
450,發,48
451,洗,48
452,手機,48
453,考慮,48
454,變成,48
455,行為,48
456,奇怪,47
457,使用,47
458,原因,47
459,所有,47
460,方法,47
461,女朋友,47
462,衣服,47
463,材料,47
464,期末,47
465,爆,47
466,網站,47
467,台北,47
468,雷,47
469,第一次,47
470,學長姊,47
471,教,47
472,公告,47
473,不夠,47
474,喝,47
475,修過,47
476,素質,46
477,早餐,46
478,路,46
479,醫院,46
480,願意,46
481,國際,46
482,拉,46
483,物理,46
484,水利,46
485,仔,45
486,拿到,45
487,樓,45
488,系館,45
489,突然,45
490,體育,45
491,系辦,45
492,砲,45
493,公投,45
494,門檻,45
495,可悲,45
496,實驗室,45
497,七日,45
498,聽到,44
499,書,44
500,勝利,44
501,正確,44
502,特別,44
503,提醒,44
504,超級,44
505,隨便,44
506,藍頭,44
507,以下,44
508,打算,43
509,倒,43
510,意義,43
511,問問,43
512,後面,43
513,厲害,43
514,樣子,43
515,平均,43
516,我家,43
517,一群,43
518,研究,43
519,收,43
520,越,43
521,你好,43
522,土木,43
523,想到,43
524,裡,43
525,單位,43
526,追,43
527,不敢,43
528,照片,43
529,有夠,42
530,前面,42
531,表示,42
532,低,42
533,變,42
534,指,42
535,國,42
536,代表,42
537,元,42
538,證據,42
539,八卦,42
540,舞會,42
541,拍,42
542,改,41
543,姆,41
544,講話,41
545,北部,41
546,學生證,41
547,離開,41
548,要求,41
549,唸,41
550,鬼,41
551,搞,41
552,平權,41
553,戰系,41
554,上次,41
555,這次,41
556,補字,41
557,反對,41
558,粉紅,40
559,有個,40
560,印象,40
561,一種,40
562,歡迎,40
563,光二,40
564,真正,40
565,真是,40
566,健身房,40
567,校區,40
568,是否,40
569,帳號,40
570,唯一,40
571,地獄,40
572,作業,40
573,小妹,39
574,忘記,39
575,廢文,39
576,舔,39
577,男朋友,39
578,硬,39
579,罵,39
580,政治,39
581,沒差,39
582,名字,39
583,主修,39
584,平常,39
585,綠,39
586,參加者,39
587,同志,39
588,欲知,39
589,請點入,39
590,閱覽,39
591,適合,38
592,大部分,38
593,冷氣,38
594,可怕,38
595,求,38
596,評價,38
597,過去,38
598,繳,38
599,說話,38
600,身體,37
601,中心,37
602,題目,37
603,尊重,37
604,過了,37
605,後悔,37
606,介紹,37
607,沒事,37
608,猜,37
609,妹,37
610,還以,37
611,粉頭,37
612,整個,37
613,能夠,37
614,傻眼,37
615,送,37
616,包,37
617,輕鬆,37
618,昨天,36
619,一樓,36
620,麵,36
621,間,36
622,中華,36
623,進,36
624,孩子,36
625,算是,36
626,臉,36
627,寄,36
628,滾,36
